id,target,comment_text,severe_toxicity,obscene,identity_attack,insult,threat,asian,atheist,bisexual,black,buddhist,christian,female,heterosexual,hindu,homosexual_gay_or_lesbian,intellectual_or_learning_disability,jewish,latino,male,muslim,other_disability,other_gender,other_race_or_ethnicity,other_religion,other_sexual_orientation,physical_disability,psychiatric_or_mental_illness,transgender,white,created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,sexual_explicit,identity_annotator_count,toxicity_annotator_count
59856,0.8936170212765957,haha you guys are a bunch of losers.,0.0212765957446808,0.0,0.0212765957446808,0.8723404255319149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-09-29 10:50:48.488476+00,2,,2006,rejected,0,0,0,1,0,0.0,4,47
239607,0.9125,Yet call out all Muslims for the acts of a few will get you pilloried.   So why is it okay to smear an entire religion over these few idiots?  Or is this because it's okay to bash Christian sects?,0.05,0.2375,0.6125,0.8875,0.1125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-13 20:50:07.430323+00,6,239581.0,26670,approved,0,0,0,1,0,0.0,4,80
239612,0.8307692307692307,This bitch is nuts. Who would read a book by a woman.,0.1076923076923077,0.6615384615384615,0.3384615384615385,0.8307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-13 21:08:08.861688+00,6,,26674,rejected,0,0,0,0,0,0.0615384615384615,4,65
240311,0.96875,You're an idiot.,0.03125,0.0625,0.0,0.96875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-15 12:34:59.545931+00,111,,32846,rejected,0,0,0,0,0,0.0,0,32
240329,0.9,Who cares!? Stark trek and Star Wars fans are all dorks who never get laid.,0.1,0.2,0.0,0.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-13 17:16:38.081524+00,111,,32846,rejected,0,0,0,0,0,0.3,0,10
240400,0.8333333333333333,"Nincompoop, that's a nice one! I'm partial to silly goose.",0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-09-29 18:21:30.915678+00,111,240399.0,32846,approved,0,0,0,0,0,0.0,4,6
240424,0.803030303030303,"Sorry to have to do this, but just to see if profanity filtering is enabled: fuck.",0.106060606060606,0.7272727272727274,0.0,0.2121212121212121,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-29 18:44:11.543739+00,111,,32846,rejected,0,0,0,0,0,0.0303030303030303,0,66
240450,0.7818181818181817,"THIS IS A TEST: 

Any fool knows Star Trek is the best albeit lacking the technology available to more recent shows. Your post is total crap. 

That's not what I really think or how I talk...just giving you a crap comment :)",0.0,0.6,0.0181818181818181,0.7272727272727274,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-06 18:53:05.292263+00,111,,32846,rejected,0,0,0,0,0,0.0,0,55
240461,0.8666666666666667,"testing purposes: 

you are an idiot and i can't stand ignorant donutholes.",0.05,0.25,0.0166666666666666,0.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-06 18:57:16.252703+00,111,,32846,rejected,0,0,0,0,0,0.0166666666666666,0,60
240509,0.803030303030303,"For the purposes of testing, here's my contribution:

lol wut wat a bunch of bullshit

the author is a delusional stupid jerk full of crap

(I just can't bring myself to use stronger profanity and personal attacks.)",0.106060606060606,0.303030303030303,0.0151515151515151,0.7878787878787878,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-29 18:14:49.635218+00,111,,32846,rejected,0,0,0,0,0,0.0151515151515151,0,66
